Assignment 1,Points,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest
0,Fri Aug 26 14:02:31 EDT 2016,35.0,,35.0,,1.0,35.0,3.0,0.0,13.0,5.0,4.0,10.0,,,,,,
1,Fri Aug 26 14:02:48 EDT 2016,0.0,,35.0,,1.0,35.0,,,,,,,,,,,,
2,Fri Aug 26 15:23:17 EDT 2016,0.0,,35.0,,1.0,35.0,3.0,0.0,13.0,5.0,4.0,10.0,,,,,,
3,Fri Aug 26 15:23:35 EDT 2016,0.0,,35.0,,1.0,35.0,,,,,,,,,,,,
4,Fri Aug 26 15:45:11 EDT 2016,0.0,,35.0,,,,,,,,,,,,,,,
5,Fri Aug 26 15:49:21 EDT 2016,0.0,,35.0,,1.0,35.0,3.0,0.0,13.0,5.0,4.0,10.0,,,,,,
6,Fri Aug 26 15:53:25 EDT 2016,0.0,,35.0,,1.0,35.0,,,,,,,,,,,,
7,Fri Aug 26 16:01:14 EDT 2016,0.0,,35.0,,1.0,35.0,3.0,0.0,13.0,5.0,4.0,10.0,,,,,,
8,Fri Aug 26 16:01:31 EDT 2016,0.0,,35.0,,1.0,35.0,,,,,,,,,,,,
9,Fri Aug 26 16:05:08 EDT 2016,0.0,,35.0,,1.0,35.0,3.0,0.0,13.0,5.0,4.0,10.0,,,,,,
10,Fri Aug 26 16:05:20 EDT 2016,0.0,,35.0,,1.0,35.0,,,,,,,,,,,,
11,Fri Aug 26 17:22:39 EDT 2016,0.0,,35.0,,1.0,35.0,3.0,0.0,13.0,5.0,4.0,10.0,,,,,,
12,Fri Aug 26 17:23:07 EDT 2016,0.0,,35.0,,1.0,35.0,,,,,,,,,,,,
