Assignment 1,Points,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest
0,Fri Aug 26 14:02:36 EDT 2016,5.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
1,Fri Aug 26 15:23:26 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
2,Fri Aug 26 15:24:04 EDT 2016,0.0,,5.0,,1.0,5.0,,,,,,,,,,,,
3,Fri Aug 26 15:25:06 EDT 2016,0.0,,5.0,,1.0,5.0,,,,,,,,,,,,
4,Fri Aug 26 15:50:01 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
5,Fri Aug 26 16:01:20 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
6,Fri Aug 26 16:03:04 EDT 2016,0.0,,5.0,,1.0,5.0,,,,,,,,,,,,
7,Fri Aug 26 16:05:14 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
8,Fri Aug 26 17:22:57 EDT 2016,0.0,,5.0,,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,,
9,Fri Aug 26 17:26:30 EDT 2016,0.0,,5.0,,1.0,5.0,,,,,,,,,,,,
